nom-entr;nom-resp;prenom-resp;email-resp;nom-etd;prenom-etd;titre;annee-univ;debut;fin;surnom
MESR;Reclus;elie;elie@mesr.com;Ampere;Andre-Marie;Integrer la qualite et les règles de l'art dans les developpements informatiques.;2013-2014;07/04/2014;13/06/2014;MBa
MGEN;Reclus;Onesime;onesime@mgen.com;Calloc'h;Jean-Pierre;Integrer la qualite et les règles de l'art dans les developpements informatiques.;2013-2014;07/04/2014;13/06/2014;MBi
MICA;Recolin;Charles;charles@mica.com;de Carne;Louis-Marie;DÈveloppement web, conception de sites mobiles, intranet;2013-2014;07/04/2014;13/06/2014;RB
MICI;Recouly;Raymond;raymond@mici.com;Amiot;Joseph-Marie;Developpement Web : Mise en place d'un site Web (conception, realisation, tests);2013-2014;07/04/2014;13/06/2014;BC
MICO;de Recy;Rene;rene@mico.com;Ampere;Jean-Jacques;realisation installation serveur wamp utilisation du php java et top net;2013-2014;07/04/2014;13/06/2014;AC
MILC;Bauny de Recy;Rene;rene@milc.com;de BaÔf;Jean-Antoine;Developpement d'un site WEB communautaire ö caractère familial;2013-2014;07/04/2014;13/06/2014;LC
MIRE;Redonnel;Paul;paul@mire.com;Barthelemy;Jean-Jacques;Participation ö la realisation d'un projet J2ee avec Blu Age mettant en oeuvre le MDA.;2013-2014;07/04/2014;13/06/2014;SD
MISP;Refort;Lucien;lucien@misp.com;Basile;Giambattista;Participation ‡ la rÈalisation d'un projet Jee/net avec BluAge mettant en oeuvre le MDA.;2013-2014;07/04/2014;13/06/2014;ID
MISS;Regamey;Felix;felix@miss.com;Baude;Jean-Jacques;Participation ‡ la rÈalisation d'un projet JEE/.NET avec BluAGE.;2013-2014;07/04/2014;13/06/2014;PF
MMSE;Regnard;Jean-FranÁois;jean-franÁois@mmse.com;Alletz;Pons-Augustin;Developpement d'un projet Java/JEE;2013-2014;07/04/2014;13/06/2014;SFo
MPEG;Raoul;Louis-Vincent;louis-vincent@mpeg.com;Apollinaire;Guillaume;Developpement de plugins pour le logiciel magicdraw, participation au developpement d'un projet flex4 ou struts en utilisant les logiciels Blue Age;2013-2014;07/04/2014;13/06/2014;OGa
MSIN;de Regnier;Henri;henri@msin.com;Bourguignon d'Anville;Jean-Baptiste;Participation au developpement d'un projet flex 4 en utilisant les logiciels Blue Age;2013-2014;07/04/2014;13/06/2014;RG
NECy;Regnier;Mathurin;mathurin@necy.com;Brugiere de Barante;Claude-Ignace;RÈalisation d'un portail de tracking d'anomalies et d'incidents de production.;2013-2014;07/04/2014;13/06/2014;OGu
NTIC;Reibrach;Jean;jean@ntic.com;de Bastide;Jean-FranÁois;RÈalisation d'un portail de tracking d'anomalies et d'incidents de production;2013-2014;07/04/2014;13/06/2014;MH
OCDE;Rances;Maurice;maurice@ocde.com;AÔsse;Charlotte;Participation ‡ la maintenance corrective et Èvolutive du projet eCommerce du Groupement des Mousquetaires;2013-2014;07/04/2014;13/06/2014;JPJ
ODAM;Reichel;Frantz;frantz@odam.com;Bastien;Jean-FranÁois;Participation aux travaux de developpement d'un projet de commerce alimentaire pour un client grand compte au sein d'une equipe de 8 personnes;2013-2014;07/04/2014;13/06/2014;CJ
OFCE;Mayne Reid;Thomas;thomas@ofce.com;Cadet de Gassicourt;Charles-Louis;Refonte totale du site internet de la societe (www.normad1.fr);2013-2014;07/04/2014;13/06/2014;NJ
OPCA;Reinach;Joseph;joseph@opca.com;Amiel;Henri-Frederic;"Analyse et developpement d'une application de type webservice permettant d'obtenir le ""scoring"" anti-spam d'un email avant envoi";2013-2014;07/04/2014;13/06/2014;OL
PAPA;Ratisbonne;Louis;louis@papa.com;Bagreef-Speranski;Elisabeth;Developpement de portail (LAMP) avec le CMS SPIP pour l'Office du tourisme de Saintes.;2013-2014;07/04/2014;13/06/2014;SMa
PASA;Reinaud;Joseph;joseph@pasa.com;Camuset;Joseph-Nicolas;Gestion et suivi de projet. Participation ‡ l'analyse, la conception et la realisation d'un outil permettant la gestion et le suivi de projets.;2013-2014;07/04/2014;13/06/2014;BM
PAVM;de Reiset;Gustave;gustave@pavm.com;Carpentier;Nicolas-Joseph;Outil de prÈparation de plans de vols;2013-2014;07/04/2014;13/06/2014;SMi
PDSH;de Reiset;Marie-Antoine;marie-antoine@pdsh.com;Cartier;George-etienne;Adaptation de l'application OpenFlyers aux tablettes tactiles et aux smartphones;2013-2014;07/04/2014;13/06/2014;AP
PINI;de Reiset;Tony-Henri-Auguste;tony-henri-auguste@pini.com;Castel;Louis-Bertrand;Amelioration de l'outil de reception des appels telephoniques base sur Asterisk;2013-2014;07/04/2014;13/06/2014;PR
PNNS;de Remondange;Charles;charles@pnns.com;Baudot;FranÁois-Nicolas;Adaptation de l'application OpenFlyers ö une utilisation pour SmartPhone sous forme d'un site web.;;07/04/2014;13/06/2014;KR
PNSE;de Remusat;Madame;madame@pnse.com;Barbier;Antoine-Alexandre;Mise en page et export PDF;2013-2014;07/04/2014;13/06/2014;FR
PNSM;Radau;Karine;karine@pnsm.com;Cantacuzene;Charles-Adolphe;Elaboration d'un cahier des charges puis recherche d'une solution technique (materielle) et mise en place d'un interfaçage en C++ Qt.;2013-2014;07/04/2014;13/06/2014;ES
PNUD;Denis;Ernest;ernest@pnud.com;Barbier;Edmond-Jean-FranÁois;Contribution ‡ la conception et assistance au developpement de la version 3 de l'outil de reporting CSODFRA. Participation aux activites : contr™le de coherence des donnees. Integration des AVSC. Integration du reporting par processus;2013-2014;07/04/2014;13/06/2014;CU
POSU;Renard;Jules;jules@posu.com;Da Costa;Gaston;Developpement d'un site internet autour de la gestion des news letter multiutilisateurs;2013-2014;07/04/2014;13/06/2014;EW
PPPI;Renaud;Armand;armand@pppi.com;Daireaux;emile;RÈalisation d'un logiciel de supervision pour environnements.;2013-2014;07/04/2014;13/06/2014;MBa
PPSM;Radcliffe;Ann;ann@ppsm.com;Castellan;Antoine-Laurent;Gestion système qualite avec accès web dans une institution de recherche academique;2013-2014;07/04/2014;13/06/2014;MBi
PRES;Rathery;Edme-Jacques-BenoÓt;edme-jacques-benoÓt@pres.com;Bac;Ferdinand;l'objectif est d'effectuer un basculement sur un nouveau systeme d'information en juiin 2008.;2013-2014;07/04/2014;13/06/2014;RB
PRSP;Radiguet;Myriam;myriam@prsp.com;Ackermann;Louise-Victorine;DÈveloppement de diverses interfaces, Èvolution du Progiciel de Gestion IntÈgrÈ de PSI : PILOTE 2000 Version 12.;2013-2014;07/04/2014;13/06/2014;BC
PRST;de Ratte;etienne-Hyacinthe;etienne-hyacinthe@prst.com;Baker;Catherine;eIntegration dans une equipe de developpeurseDevelopement de produits logiciels pour les personnes dependantes ö domicile;2013-2014;07/04/2013;13/06/2014;AC
PSCE;Raveau;Camille;camille@psce.com;Barginet;Alexandre;Conception technique et realisation d'une application d'aide ö la decision pour la planification des activites de blocs operatoires.;2013-2014;07/04/2014;13/06/2014;LC
PSDP;Ray;Jean;jean@psdp.com;Castets;Ferdinand;developpement Php, MySQL, reseau social, sites internet, compte et fiche personnel, referencement de sites, comprehension du fonctionnement Google;2013-2014;07/04/2014;13/06/2014;SD
PSPH;Raymond;Georges-Marie;georges-marie@psph.com;de Medicis;Catherine;Supervision d'Infrastructures;2013-2014;07/04/2014;13/06/2014;ID
PSRS;Raymond;Louise;;de Parthenay;Catherine;Developpement d'applications educatives multiplateformes;2013-2014;07/04/2014;13/06/2014;PF
PSUR;Raymond;Xavier;xavier@psur.com;de Sienne;Catherine;Developpement d'un logiciel libre multimedia ö destination des ecoles primaires;2013-2014;07/04/2014;13/06/2014;SFo
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
